Округ,Название,Адрес,Имя контакта,Фамилия контакта,Телефон контакта,Почта контакта
САО,Рольф (филиалАЦСЕВЕР) только Ауди,"г.Москва, Ленинградское ш., д.63Б Предупреждать  8-909-642-39-39","","", 8(909)642-39-39,rolf_audi.sever@mail.ru
САО,Рольф (филиалАЦСЕВЕР) только Ауди,"г.Москва, Ленинградское ш., д.63Б Предупреждать  8-909-642-39-39","","",+7(916)597-21-05,Nikolay.Pronin@audi-sever.ru
СВАО,РОЛЬФ (филиалСити),Ярославское ш„ д.31,Евгений,Фирсаков,8-925-840-04-49,rolf_citi@mail.ru
СЗАО,Рольф (филиал Центр),"2ой Магистральный тупик, д.5А",Александр,"",+7 903-182-22-27,""
СЗАО,Рольф (филиал Центр),"2ой Магистральный тупик, д.5А","","",+7 958-817-89-76,""
СЗАО,Рольф (филиал Центр),"2ой Магистральный тупик, д.5А",Георгий,"",+7 916-770-33-70,rolf.centr@mail.ru
СЗАО,Рольф (филиал Центр),"2ой Магистральный тупик, д.5А",Вадим,"",+7 977-863-08-81,""
СЗАО,Рольф (филиал Центр),"2ой Магистральный тупик, д.5А","","",+7 985 483 53 05,""
ЮАО,Рольф филиал Юг,"Москва, Обручева д.27, к.1 в 11:00 Предупреждать +7-965-147-86-30","","",8-925-499-08-40,rolf_yug@mail.ru
ЮАО,Рольф филиал Юг,"Москва, Обручева д.27, к.1 в 11:00 Предупреждать +7-965-147-86-30","","",8-985-070-56-08,aa2inovev@rolf.ru
САО,Рольф Фольксваген Север,"МКАД, 85-й километр, вл3с2","","",+7(495)126-18-31,rolf_vw_sever@mail.ru
САО,Рольф Фольксваген Север,"МКАД, 85-й километр, вл3с2","","",+7 926 898-090-51,""
САО,Рольф Фольксваген Север,"МКАД, 85-й километр, вл3с2","","",+7(977)626-08-03,""
СЗАО,РСК-Сервис,"ул. Свободы 35, стр. 17 (ВТ-ПТ)","","",+7(965)116-17-68,rsc-service@mail.ru
ЮЗАО,"РТДС+, Кузовной центр","ОБРУЧЕВА, Д.52, СТР.69 / 32й км МКАД вл15 (Автосервис автопрестиж) До 18:00!",Владимир,"","",sogl@rtds.ru
ЮЗАО,"РТДС+, Кузовной центр","ОБРУЧЕВА, Д.52, СТР.69 / 32й км МКАД вл15 (Автосервис автопрестиж) До 18:00!",Денис,"",+7(963)710-17-77 Денис,""

ЗАО,РТР-Авто,"НОВОРИЖСКОЕ ШОССЕ, 5 КМ",,,,
СЗАО,Рублевка Сервис,"Одинцовский р-н, д. Раздоры, Рублево-Успенское ш., 1 км, д. 2",Вячеслав,"",+7(903)777-03-60,""
ЮВАО,РусКомАвто,"Раменский р-н, г. Раменское, Северное ш., д.1, к.3","","","",info@truck-group.ru

САО,РусКомАвто Зеленоград,"Зеленоград. Пр. Ген Алексеева 17Д,",,,,
ЮАО,РусКомАвто (Подольских курсантов),"Подольских курсантов, 32",,,,truckbizulevo@mail.ru

ВАО,РусКомАвто Рязань,"Рязанская обл., с. Дядьково, стр. 2",,,,
ЮЗАО,Рус-Лан,"Миклухо-Маклая, 8 стр. 3, 645-84-54",,,,kuzov@rus-lan.ru
САО,Русский стиль - Авто М,"Ильменский проезд, д. 11, стр. 7. (Перед приездом звонить!)","","",+7(495)943-99-05,""
ЮАО,СД-С,"МО, Домодедово, Каширское ш., д.105","","",88005507755; 74952298063,""
ЗАО,СеАлКо,"ул. Молодогвардейская, д. 57 стр 2","","",(495)106-0544,avto@ridamotors.ru
ЗАО,СеАлКо,"ул. Молодогвардейская, д. 57 стр 2","","",WhatsAPP (901)42-90607,""
АСЦ,Север Авто С,Сигнальный проезд 16,"","",495-287-08-95,vydacha.asc@gmail.com

ВАО,Сервис,"г.Москва, Тюменский проезд, д. 5",,,,
Платят,Сервис24,"Ермакова Роща, д.7Б, стр.5 (новый адрес!)","","",74994443423,service@ins24.ru
Платят,Сервис24,"Ермакова Роща, д.7Б, стр.5 (новый адрес!)","","","",city.service@ins24.ru
ВАО,Сервис Авто,"ул. Волочаевская, д.44, этаж 1, комната 44","","",8(495)707-1777 (доб.211),unit-repair@yandex.ru

СВАО,Сервис Люкс,"г. Мытищи, 9 ленинский переулок",,,,

СВАО,Сервис Плюс,"Мытищи, Ленинский пер, д.11",,,,
ЮАО,Сервис Центр (АзимутСП),Ул. Дорожная д.3 стр .13,"","","",ceh@bmw-azimutsp.ru
ЮАО,Сервис Центр (АзимутСП),Ул. Дорожная д.3 стр .13,"","","",avemik@gmail.com
ЮАО,Сервис Центр (АзимутСП),Ул. Дорожная д.3 стр .13,"","",363-96-96,COORDINATION@bmw-azimutsp.ru
ЮАО,СИАС - Тракс (МО),"МО, Ленинский р-н, с. Булатниково, Симферопольское ш., д.3","","",+7(495)411-54-33 доб. 4882,""
ЮЗАО,Сибирь-Авто,"Бережковская наб. 20, стр 13","","","",sibir.kuz@mail.ru
ЮАО,СИЛВЕРКАР,"Домодедовское шоссе, 16А","","",7(906)755-07-43,""
ЗАО,Сильверкар (Сколковское ш.),"Москва, Сколковское шоссе, д. 31, стр.15","","",8(800)707-77-81,""
САО,Сильверкар (ул. С. Супруна),"Москва, ул. Степана Супруна, д.7, стр.1","","",8(800)707-77-81,""
САО,Сильверкар (ул. С. Супруна),"Москва, ул. Степана Супруна, д.7, стр.1","","",8(499)288-77-12,""

ЮАО,Сим Сервис М,"ул. Деловая, д 11 корп. 2",,,,
ЮАО,СИМцентр,Варшавское ш.26 стр.11 (до 12:00),"","","",KSIMcentr@hyundai-sim.ru
ВАО,Скан Кар,г. Москва ул. Прокатная д. 7,"","","",a.yavetskiy@77volvo.ru
ВАО,Скан Кар,г. Москва ул. Прокатная д. 7,Офис,"",495-258-25-74,""
ВАО,Скан Кар,г. Москва ул. Прокатная д. 7,"","",495-481-74-74,""
ВАО,СК Ника,"Факт.адрес: Москва, Кетчерская улица, 13 // Юр.адрес: МО, г.Балашиха, мкр. Железнодорожный, ул. Октябрьская, д.33, блок А.","","",79851801801,""
ЮАО,СК ТИТ,"Москва, 2-й Южнопортовый пр., 18, стр. 8",Артем,"",+79163460703,""
АСЦ,Смарт Трейд (дубровка),2-я ул. Машиностроения д. 6,"","","",Evgeniy.Khryapin@kia-msk.ru
АСЦ,Смарт Трейд (дубровка),2-я ул. Машиностроения д. 6,"","",+7 (495) 740 02 20,kuzov@kia-msk.ru
АСЦ,Смарт Трейд (дубровка),2-я ул. Машиностроения д. 6,"","","",vydacha.asc@gmail.com
АСЦ,Смарт Трейд (М-Финанс),Сигнальный проезд 16,"","","",vydacha.asc@gmail.com
СВАО,Соларис-М,"Мытищи г., Волковское ш., вл. 17 (пн-пт 9-17)","","","",s.sherenkov@kvist.ru
ЮВАО,СПЕКТРЛОГИСТИК (МО),"МО, Жуковский, ул. Мясищева, д.24, стр.а","","",88005054989,""
САО,"Спорткар-Центр (СКЦ, 78км)","МКАД, 78 км, внешняя сторона, первая линия, владение 4В, ООО «ЦКС»","","","",zrobok@porsche-scc.com
САО,"Спорткар-Центр (СКЦ, 78км)","МКАД, 78 км, внешняя сторона, первая линия, владение 4В, ООО «ЦКС»",Андрей,Девятов (Мастер кузовного),+7(495)602-02-22 ,""
САО,"Спорткар-Центр (СКЦ, 78км)","МКАД, 78 км, внешняя сторона, первая линия, владение 4В, ООО «ЦКС»",Дмитрий,Мартиконис,+7(916)800-28-25 ,""
САО,"Спорткар-Центр (СКЦ, 78км)","МКАД, 78 км, внешняя сторона, первая линия, владение 4В, ООО «ЦКС»",Денис,Денев (Начальник кузовного),+7(926)204-22-55,""
САО,"Спорткар-Центр (СКЦ, 78км)","МКАД, 78 км, внешняя сторона, первая линия, владение 4В, ООО «ЦКС»","","","",apranevsky@gmail.com
САО,"Спорткар-Центр (СКЦ, 78км)","МКАД, 78 км, внешняя сторона, первая линия, владение 4В, ООО «ЦКС»","","","",master@ckstation.ru
САО,"Спорткар-Центр (СКЦ, 78км)","МКАД, 78 км, внешняя сторона, первая линия, владение 4В, ООО «ЦКС»","","","",a.taleev@ckstation.ru
ЮАО,С-СЕРВИС (Сияние ТК),"142184, МО, Подольский р-н, МИС п","","",7(499)519-13-19,""

ЮАО,СТА-Сервис,"г Ступино, ул Загородное владение, д 15",,,,
Платят,Статус Авто (ТО-Сервис),"1-й митинский переулок, вл 3 // ул Саломеи-Нерис д.4 корп.3","","","",sk@statusavto-service.ru
Платят,Статус Авто (ТО-Сервис),"1-й митинский переулок, вл 3 // ул Саломеи-Нерис д.4 корп.3","","","",""
ЗАО,Стенд-Авто (Даниан-Сервис),"3-й Хорошевский пр-д, дом 5","","","",nik6.68@mail.ru
ЗАО,Стенд-Авто (Даниан-Сервис),"3-й Хорошевский пр-д, дом 5","","","",ndn@danian.ru
ЗАО,Стенд-Авто (Даниан-Сервис),"3-й Хорошевский пр-д, дом 5",Мастер кузовного,"","",kuz@danian.ru
Платят,СТО-сервис,1й Митинский пер. д.25,"","","",sobolev@sto-serv.ru

СВАО,Стрим Авто Сервис,"Сущевский вал 5, стр 18",,,,

ЮВАО,СТС Сервис,"Люберцы, Котельнический пр-зд 23в,",,,,

САО,СТС-С ( У Сервис + ),Старокоптевский пер 6,,,,
ЮВАО,СТЦ ТехСтар,"Котельники, Дзержинское ш., 7/2",Смена 1,Крестьянинов Алексей,89036604434,kuzov@teh-star.ru
ЮВАО,СТЦ ТехСтар,"Котельники, Дзержинское ш., 7/2",Смена 2,Баркин Алексей ,+7 926 813-05-44,defectsto@teh-star.ru
ЮВАО,"СЦ АЦ Юг (28-, 83-)",МО г. Дзержинский ул. Алексеевская д 8,"","","",kuzovaudipriemka@audi-yug.ru
ЮВАО,"СЦ АЦ Юг (28-, 83-)",МО г. Дзержинский ул. Алексеевская д 8,Дмитрий,Борец,"",dmitriy.borets@major-auto.ru
ЮВАО,"СЦ АЦ Юг (28-, 83-)",МО г. Дзержинский ул. Алексеевская д 8,Евгений,Абраменков,"",evgeniy.abramenkov@major-auto.ru
САО,СЦ-Север (Эла),"ул. Клязьминская, д. 5","","",8(926)-419-91-60,timofej.kshennikov@kiasever.ru
САО,СЦ-Север (Эла),"ул. Клязьминская, д. 5","","",+7 (495) 287-08-95,""
САО,СЦ ТЦШ (Тойота Центр Шереметьево),"г. Химки, Ленинградское шоссе, владение 24.","","",+7(495)730-22-00 доб.275,kuzov@major-toyota.ru
ВАО,Сэвен,ул Волочаевская 44,,,,kuzov-unit@yandex.ru
ВАО,Сэвен,ул Волочаевская 44,,,,unit-repair@yandex.ru
ЗАО,ТАВИ М,"Москва, Мукомольный пр-д, д.2Б, стр.1","","",74992562065,komarov19@yandex.ru

ВАО,Тауэр ЛТД,Орехово-Зуево. Малодубенское ш. дом 6,,,,

ЮАО,ТестАвто,г. Чехов. Симферопольское ш. д3А,,,,
Марченко,Техавтоком,Полярный проезд д.18,Дмитрий,"",+7(903)549-68-36,Berez12@mail.ru

ЮВАО,"Техавтоцентр НАТС (Вязовский, НТС)",2 й вязовский проезд д 12,,,,
ВАО,"Техавтоцентр НАТС (Носовиха, ТЦН)","г. Реутов, Носовихинское ш. 33 2 й вязовский проезд д 12",Игорь,"",89647908908,kuz2-reut@natc-group.ru
ВАО,"Техавтоцентр НАТС (Носовиха, ТЦН)","г. Реутов, Носовихинское ш. 33 2 й вязовский проезд д 12","","",+7(495)926-03-03,""
ВАО,"Техавтоцентр НАТС (Носовиха, ТЦН)","г. Реутов, Носовихинское ш. 33 2 й вязовский проезд д 12","","",+7(999)541-69-72,""

ЮВАО,ТехАвтоЮг (Лыткарино),Лыткарино ул.Спортивная стр.1,,,,
ЮВАО,ТехАвтоЮг (Люберцы),"Люберцы, Котельнечекий проезд, д. 4.",,,,ilya-yurut@kia-maryino.ru
АСЦ,ТехАвтоЮг (Марьино),Сигнальный проезд 16,Александр,"",8-965-762-91-71,kyzov-kia@kia-maryino.ru
АСЦ,ТехАвтоЮг (Марьино),Сигнальный проезд 16,"","","",vydacha.asc@gmail.com
АСЦ,ТехАвтоЮг (М-Финанс),Сигнальный проезд 16,"","","",detali-asc-vidacha2@yandex.ru
АСЦ,ТехАвтоЮг (М-Финанс),Сигнальный проезд 16,"","","",maxim.kozlov@kia-maryino.ru
АСЦ,ТехАвтоЮг (М-Финанс),Сигнальный проезд 16,"","","",vydacha.asc@gmail.com
АСЦ,ТехАвтоЮг (Сигнальный),Сигнальный проезд д.16,Виктория ,"",8(968)485-55-57 ,vydacha.asc@gmail.com
ЮАО,Технический центр Каширский(ОВОД),"М.О., Ленинский р-н, с.п. совхоз им.Ленина, 26 км МКАД, владение 13 (вт-ср выходной)",Звонить,"",+7 (495)787 53 53 доб. 455 ,masoc@ovod.ru
ВАО,Техно-ВТТ,Краснобогатырская 89 (12:00-17:00),Павел,"",(915)-422-01-90,""
ВАО,Техно-ВТТ,Краснобогатырская 89 (12:00-17:00),Дмитрий,"",(495) 646-29-29 доб.121,d.kuzmin@turbo-vag.ru
Платят,Техносервис,Кулаков переулок 15,"","",тел. 495-143-64-00,""
Платят,Техносервис,Кулаков переулок 15,"",Дмитрий,8(915)449-17-59,""
Платят,Техносервис (Верхние Поля),Кулаков переулок 15,"","",тел. 495-143-64-00,""
Платят,Техносервис (Верхние Поля),Кулаков переулок 15,"",Дмитрий,8(915)449-17-59,""
ВАО,Техносервис (Лыткарино),"МО,г. Лыткарино, Спортивная ул., стр.1",,,,kuzov@tekhnoservise.ru
ВАО,Техносервис (Лыткарино),"МО,г. Лыткарино, Спортивная ул., стр.1",,,,kuzov@as-motors.ru
ЮЗАО,Техносервис (Техинком-Авторемонт 47км МКАД),"47 км МКАД, дер. Говорово","","","",e.shubnov@techincom.ru
ЮЗАО,Техносервис (Техинком-Авторемонт 47км МКАД),"47 км МКАД, дер. Говорово","","","",a.platov@techincom.ru
ЮЗАО,Техносервис (Техинком-Авторемонт 47км МКАД),"47 км МКАД, дер. Говорово","","","",zapchasti@ingos.ru
ЮЗАО,Техносервис (Техинком-Авторемонт 47км МКАД),"47 км МКАД, дер. Говорово","","","",n.groshkov@techincom.ru
САО,Техносервис (Химки),Ленинградское ш. вл.16 (з/н ЛС),Виталий,"",8(968)767-12-21,viktor.sherbakov@techincom.ru
САО,Техносервис (Химки),Ленинградское ш. вл.16 (з/н ЛС),"","","",sergey.petrikin@techincom.ru
СЗАО,Техносервис (Шмит),Хорошёвское шоссе 3 стр 1,,,,sgol@ap-auto.ru
СЗАО,Техносервис (Шмит),Хорошёвское шоссе 3 стр 1,,,,yugog@ap-auto.ru

ВАО,Техносервис (Шмит-Балашиха),"г. Балашиха, ул. Объездное шоссе, владение 1/2",,,,
СВАО,Техцентр Дмитровка,Дмитровская ш. 64,"","",916-445-54-48,""
Платят,Техцентр Лорем Авто,"Москва, Сиреневый бульвар, д.83","","",8(495)740-99-98,""
ЮАО,Техцентр на Дорожной/Автосервис,Москва ул. Дорожная д. 3 стр. 13,Иван,"",8-915-418-14-24,service_ap@autopassage.ru
ЮАО,Техцентр на Дорожной/Автосервис,Москва ул. Дорожная д. 3 стр. 13,"","","",bondin@autopassage.ru
ЮАО,Техцентр на Дорожной/Автосервис,Москва ул. Дорожная д. 3 стр. 13,"","","",master@autopassage.ru
ЮАО,Техцентр Символ,"Каширское ш 67, стр 14 (ВТ-ПТ 11:00-17:00) !!!Звонить перед выездом!!!","","","",kuzov@symbol-service.ru
ЮАО,Техцентр Символ,"Каширское ш 67, стр 14 (ВТ-ПТ 11:00-17:00) !!!Звонить перед выездом!!!","","",+7(916)445-54-48,4455448ER@mail.ru

БК,Тойота-центр Битца (Бизнес кар),Балаклавский пр 26 (пятница),,,,
ЮЗАО,ТОЙОТА ЦЕНТР ВНУКОВО,"ГОРОД МОСКВА, Д.КАРТМАЗОВО, УЛИЦА КИЕВСКАЯ, СТРОЕНИЕ 8 (Звонить за час)","","","",andrey.savin@inchcape.ru
ЮЗАО,ТОЙОТА ЦЕНТР ВНУКОВО,"ГОРОД МОСКВА, Д.КАРТМАЗОВО, УЛИЦА КИЕВСКАЯ, СТРОЕНИЕ 8 (Звонить за час)","","","",VALERIY.MATVEEV@inchcape.ru
ЮЗАО,ТОЙОТА ЦЕНТР ВНУКОВО,"ГОРОД МОСКВА, Д.КАРТМАЗОВО, УЛИЦА КИЕВСКАЯ, СТРОЕНИЕ 8 (Звонить за час)","","","",iliya.khromov@inchcape.ru
ЮЗАО,ТОЙОТА ЦЕНТР ВНУКОВО,"ГОРОД МОСКВА, Д.КАРТМАЗОВО, УЛИЦА КИЕВСКАЯ, СТРОЕНИЕ 8 (Звонить за час)",Станислав,Ветров,"",stanislav.vetrov@inchcape.ru
ЮЗАО,ТОЙОТА ЦЕНТР ВНУКОВО,"ГОРОД МОСКВА, Д.КАРТМАЗОВО, УЛИЦА КИЕВСКАЯ, СТРОЕНИЕ 8 (Звонить за час)",Максим,Шалаев,"",maksim.shalaev@inchcape.ru
ЮЗАО,ТОЙОТА ЦЕНТР ВНУКОВО,"ГОРОД МОСКВА, Д.КАРТМАЗОВО, УЛИЦА КИЕВСКАЯ, СТРОЕНИЕ 8 (Звонить за час)",Валерий,"","",vladimir.sokolov@inchcape.ru
ЮЗАО,ТОЙОТА ЦЕНТР ВНУКОВО,"ГОРОД МОСКВА, Д.КАРТМАЗОВО, УЛИЦА КИЕВСКАЯ, СТРОЕНИЕ 8 (Звонить за час)",Владимир,"",8(916)777-72-37,vladimir.korobov@borishof.ru
ЮЗАО,ТОЙОТА ЦЕНТР ВНУКОВО,"ГОРОД МОСКВА, Д.КАРТМАЗОВО, УЛИЦА КИЕВСКАЯ, СТРОЕНИЕ 8 (Звонить за час)",Рязанов Дмитрий Евгеньевич,"",4957879999 доб. 11138 ,dmitry.ryazanov@borishof.ru
ЮЗАО,ТОЙОТА ЦЕНТР ВНУКОВО,"ГОРОД МОСКВА, Д.КАРТМАЗОВО, УЛИЦА КИЕВСКАЯ, СТРОЕНИЕ 8 (Звонить за час)","","","",kuzov.vnukovo@borishof.ru

БК,Тойота-центр Каширский (Бизнес кар),"Ленинский р-н, с\х им. Ленина, МКАД 26 км. Влад 5, стр 1-4, (пятница)",,,,

БК,Тойота-центр Лосиный остров (Бизнес кар),"Мытищи, 3-я Колхозная, дом 9 (вторник)",,,,

БК,Тойота-центр Рублевский (Бизнес кар),Рублевское ш 74 (среда),,,,

БК,Тойота-центр Серебряный бор (Бизнес кар),"пр марш Жукова, д49, корп 1 (нет кузовного)",,,,
ЮВАО,Торгмаш-Сервис,Иловайская 2Б (с 10-00 до 18-00),"","","",service@torgmash-avto.ru
ЮВАО,Торгмаш-Сервис,Иловайская 2Б (с 10-00 до 18-00),"","","",service-mar@torgmash-avto.ru
ЮАО,ТПК Трейдинвест,Шлюзовая набережная 2/1 (танковый пр. 4с27),"","",(925)925-94-03,""

ЗАО,Траквилл,"Одинцовский р-н, д. Хлюпино, ул. Заводская 1а, тел. 495-134-13-41",,,,
ЮАО,Трак Групп Сервис (п Пирогова),Ул Подольских курсантов 32, Владимир,"",+7(903)196-12-01,konnoviv@truck-group.ru
ЮАО,Трак Групп Сервис (п Пирогова),Ул Подольских курсантов 32,Валерий,"",+7(963)654-45-49,""
СЗАО,ТРАК-МЕХАНИК (МО),"МО, Истринский р-н, п.Агрогородок, д.17","","",74957732202,""
ЗАО,ТракСпейс (МО),"МО, Одинцовский р-н, п. Городок-17, вл.11, стр.3","","",79853000788,info@truckspace.ru
ЮАО,ТрансСевер,Архив того года,,,,sogl@kashirka39.ru
ВАО,Трейдальянс,"59км А/Д Москва-Н.Новгород, с/п Буньковское, д.1","","",84959260302,""
ЮАО,Трейд Моторс (МО),Зорин лес 34,"","",7(929)961-7514,tm-kuzov@mail.ru
ЮАО,ТСК Техинком,"МО, г.Подольск, Домодедовское ш., д.7","","",74959743747,""
ЗАО,ТСЦ ВЕНТУС,Мосфильмовская 68,"","",+7(495)234-3913 доб. 350,kuzov@ventus.ru
ЮАО,ТТМ Центр,"МО, Ленинский район, д. Горки, Каширское ш., вл.28","","",+7(916)321-33-72,kr@ttm-c.ru
ЮАО,ТТМ Центр,"МО, Ленинский район, д. Горки, Каширское ш., вл.28","","",8_903 555 7169,""
ЮАО,ТТМ Центр,"МО, Ленинский район, д. Горки, Каширское ш., вл.28","","",8(903)555-71-69,""
ЮАО,ТТМ Центр,"МО, Ленинский район, д. Горки, Каширское ш., вл.28",Мастер Кузовного цеха,"",8(903)555-71-69,""

ЮЗАО,ТТЦ Волгина-Авто,"г. Москва, ул. Академика Волгина д.6",,,,
Марченко,Тушино сервис,Волоколамское ш. 116,Владимир Посевин,"",8(903)666-77-67,Kuzov@auto-tushino.ru
Марченко,Тушино сервис,Волоколамское ш. 116,"","",8(495)504-40-56,""
ЮВАО,ТЦ Котельники,"МО, Котельники, мкр. Силикат, Промзона, д.17","","",+7(495)256-40-41,sk@tckotelniki.ru

ЗАО,ТЦ Кунцево Лимитед,Горбунова 14 (нужны зн и ф),,,,
ЗАО,ТЦ Новорижский Сервис,"Красногорский р-н, д.Михалково, п/о Архангельское, а/д Балтия, 25 км, Торгово-складской комплекс.",,,,concord@major-toyota.ru
ЗАО,ТЦ Новорижский Сервис,"Красногорский р-н, д.Михалково, п/о Архангельское, а/д Балтия, 25 км, Торгово-складской комплекс.",,,,Dmitru.Borets@major-toyota.ru
СВАО,ТЦ Сокольники Сервис,"Сокольнический Вал, 1 л","","","",vinogradov@major-toyota.ru
СВАО,ТЦ Сокольники Сервис,"Сокольнический Вал, 1 л","","","",skl.kuzov@major-toyota.ru
СЗАО,ТЦ Сокольники Сервис (Магистральная),1я Магистральная д.13 стр.1 (Мэйджор - Магистральная),"","","",kuzovmaglextoy@major-toyota.ru
СЗАО,ТЦ Сокольники Сервис (Магистральная),1я Магистральная д.13 стр.1 (Мэйджор - Магистральная),Сергей,Кучерук,"",sergey.kucheruk@major-auto.ru
ВАО,УБазис,"г. Москва, ул.Электродная, д.14с1","","",8 (499) 409-48-43,""
ЗАО,УзДЭУ-Моторс,"Малогвардейская 61 стр4, 775-12-77",,,,stoa2@uzdm-motors.ru
,УПДК,"ул. Киевская 8 (звонить перед визитом, ПН-ПТ, 9-17)","","",8-499-766-17-77 доб. 352 или 364,kuzov@sac.ru
СЗАО,УРемонт,"ул. Бусиновская горка, вл. 1","","",+7-800-707-12-9,TROFIMOV.A@UREMONT.COM

СЗАО,У Сервис + (Башиловская) /2,"Башиловская 2, стр. 3",,,,
САО,У Сервис+ (Викторенко) (ранее СЦМ) /32,Викторенко 18 стр3,,,,kuzov.v@uservice.ru
ЮВАО,У Сервис + (Люблинская) /8,Люблинская дом 60,,,,harchevnikov.a@uservice.ru
ЮАО,У Сервис+ (Речников) /4,"ул. Речников, 29","","","",EKC@uservice.ru
ЮАО,У Сервис+ (Речников) /4,"ул. Речников, 29","","","",soglas@uservice.ru
ЮАО,У Сервис+ (Речников) /4,"ул. Речников, 29","","","",kat@uservice.ru
ЮАО,У Сервис+ (Речников) /4,"ул. Речников, 29","","","",oparin.s@uservice.ru
САО,У Сервис Санрайз (Ленинградка) Химки /9,г. Химки Ленинградское шоссе д. 16 владение 16/строение 1 (вт-пт),"","","",kuzov@khimki.subaru.ru
САО,У Сервис Санрайз (Ленинградка) Химки /9,г. Химки Ленинградское шоссе д. 16 владение 16/строение 1 (вт-пт),"","","",kuzov.master@subaru-us.ru
САО,У Сервис Санрайз (Ленинградка) Химки /9,г. Химки Ленинградское шоссе д. 16 владение 16/строение 1 (вт-пт),"","","",Koblikov.s@sunrise-group.ru
СВАО,У Сервис + (Ярославка) /12,Ярославское шоссе А 642-99-99 (до 17:00),Роман,"",8(901)519-5296 ,ekc@uservice.ru
СВАО,У Сервис + (Ярославка) /12,Ярославское шоссе А 642-99-99 (до 17:00),"","","",master.kuz.infiniti@uservice.ru
СВАО,У Сервис + (Ярославка) /12,Ярославское шоссе А 642-99-99 (до 17:00),"","","",urivskiy.e@uservice.ru

САО,Фаворит Ассист (Клары Цеткин 24) (НЕ ВЫБИРАТЬ),Клары Цеткин 24 (Коптево Форд),,,,
САО,ФаворитХоф (GM / Коптево Форд),Коптевская ул. д.69А стр.1 / Клары Цеткин 24 (ВТ-ПТ),Дмитрий,"",+7(903)564-77-73,""
ЮАО,ФаворитХоф (Шкода Варшавка),"Варшавское ш. 1 -й Дорожный проезд, Д4, Стр.1 (кроме ПН)","","","",KUZOV-GM@favorit-motors.ru
ЮАО,ФаворитХоф (Шкода Варшавка),"Варшавское ш. 1 -й Дорожный проезд, Д4, Стр.1 (кроме ПН)","","","",chachalin.r@favorit-motors.ru
ЮАО,ФаворитХоф (Шкода Варшавка),"Варшавское ш. 1 -й Дорожный проезд, Д4, Стр.1 (кроме ПН)","","","",bogdanov.a@favorit-motors.ru
ЮАО,ФаворитХоф (Шкода Варшавка),"Варшавское ш. 1 -й Дорожный проезд, Д4, Стр.1 (кроме ПН)","","","",Gladkih.A@favorit-motors.ru
ЮАО,ФаворитХоф (Шкода Варшавка),"Варшавское ш. 1 -й Дорожный проезд, Д4, Стр.1 (кроме ПН)","","","",Stepanov.Mih@favorit-motors.ru
ЮАО,ФаворитХоф (Шкода Варшавка),"Варшавское ш. 1 -й Дорожный проезд, Д4, Стр.1 (кроме ПН)","","","",starina.r@favorit-motors.ru
ЮАО,ФаворитХоф (Шкода Варшавка),"Варшавское ш. 1 -й Дорожный проезд, Д4, Стр.1 (кроме ПН)","","","",Efremenko.A@favorit-motors.ru
ЗАО,ФГУП ГУО МИД РФ,"Москва, ул. Василисы Кожиной, д.11","","",7 (499) 145-70-69 ,""
СВАО,Федоскинская 12,"Федоскинская 12, стр 1.","","","",skladf12@yandex.ru

ЮВАО,Фиат М5 (М88 Люберцы),г.Люберцы Котельнический проезд д.4,,,,

САО,Филиал ААА Независимость Премьер Авто,"141400. Московская область, г Химки. Вашутинское ш . вл 48",,,,
ЗАО,ФИРМА,"Москва, Молодогвардейская ул., д.54, ст.2","","",89857761153,""
ЮВАО,Фирма Лагода-Интранс,Волгоградский пр. 42,,,,aftersale@avtotop-kia.ru
СВАО,ФКМоторс,104 км МКАД,"","",+7(926)903-42-46,shchanikov@fkmotors.ru

СВАО,ФКМоторс (Бусиново),104 км МКАД,,,,
ЮВАО,Флайт Эксперт(МКАД),МКАД 19й км Тел. (495)500-34-34,"","","",os@honda-dealer.ru
Марченко,Флайт Эксперт (Плеханова),Плеханова д.5 (ВТ-ПТ 10-18),Маер,Актуально на 29.04,89031240420,mShamuratov@honda-dealer.ru
Марченко,Флайт Эксперт (Плеханова),Плеханова д.5 (ВТ-ПТ 10-18),"","","",OS@honda-dealer.ru
СВАО,Флекс Авто,"Москва, ул. Кольская, д.12, стр.1","","",74956455564,""
Марченко,Флит-Сервис,Енисейская д7к3,"","",+7(495)135-31-10,fleet.service.group@gmail.com
Марченко,Флит-Сервис,Енисейская д7к3,Якоб Сергей,"",+7(903)123-77-99,""

ЮЗАО,Флит Сервис Партнерс,Ул. Вавилова 13-а.,,,,
ЮЗАО,Фольсваген центр Внуково,"Киевское шоссе вл. 15, (5 км от МКАД)",Руслан,Актуально на 29.04,89854835305,""
ЮАО,Форза,"Москва, Днепропетровский пр-д, 7","","",8(905)701-40-40,""
ЗАО,Форсаж/Евромоторс,"Магистральный пер, д.3, к. 1","","","",sogl@em-auto.ru
ЗАО,Форсаж/Евромоторс,"Магистральный пер, д.3, к. 1","","","",sogl@smautoservice.ru

ЗАО,ФОРУМ,"Москва, Верейская, 7/2",,,,
СЗАО,ФосиарАвто,Солнечногорский р-н. Авторемонтная стр 3 Позвонить перед приездом!),"","",+79175795176,kuzov@focr.ru
ВАО,ФРИМОНТ,"ул. Старообрядческая, д. 28а, стр.1","","",89651044224,""
